Name,Checked URLs,Violations,Score,,Accessibility Score
www.washingtondc.va.gov,70,634,-3.18,9.057142857,0.00%
www.vacareers.va.gov,125,1061,-3.09,8.488,6.28%
mobile.va.gov,98,772,-2.98,7.87755102,13.02%
connectedcare.va.gov,274,1701,-2.63,6.208029197,31.46%
telehealth.va.gov,12,74,-2.62,6.166666667,31.91%
www.rehab.research.va.gov,5689,34692,-2.61,6.098084022,32.67%
www.seattledenvercoin.research.va.gov,1,6,-2.58,6,33.75%
gravelocator.cem.va.gov,2,10,-2.32,5,44.79%
iris.custhelp.va.gov,45,222,-2.30,4.933333333,45.53%
www.research.va.gov,310,1370,-2.14,4.419354839,51.21%
www.tms.va.gov,3,13,-2.12,4.333333333,52.16%
www.oedca.va.gov,1,4,-2.00,4,55.84%
www.vaforvets.va.gov,32,128,-2.00,4,55.84%
www.vlm.cem.va.gov,2,7,-1.81,3.5,61.36%
www.ptsd.va.gov,1170,3961,-1.76,3.385470085,62.62%
www.knowva.ebenefits.va.gov,3,10,-1.74,3.333333333,63.20%
www.blogs.va.gov,17,56,-1.72,3.294117647,63.63%
www.herc.research.va.gov,1,3,-1.58,3,66.88%
www.virec.research.va.gov,1,3,-1.58,3,66.88%
www.data.va.gov,20,47,-1.23,2.35,74.05%
www.hsrd.research.va.gov,15,35,-1.22,2.333333333,74.24%
www.ruralhealth.va.gov,34,79,-1.22,2.323529412,74.35%
insurance.va.gov,5,11,-1.14,2.2,75.71%
www.veterantraining.va.gov,20,44,-1.14,2.2,75.71%
gibill.custhelp.va.gov,69,151,-1.13,2.188405797,75.84%
blogs.va.gov,422,879,-1.06,2.082938389,77.00%
benefits.va.gov,330,664,-1.01,2.012121212,77.78%
www.benefits.va.gov,1517,3051,-1.01,2.011206328,77.79%
homeloans.va.gov,1,2,-1.00,2,77.92%
vaonce.vba.va.gov,1,2,-1.00,2,77.92%
www.butler.va.gov,54,108,-1.00,2,77.92%
www.datahub.va.gov,1,2,-1.00,2,77.92%
www.ffps.vba.va.gov,1,2,-1.00,2,77.92%
www.patientsafety.va.gov,51,101,-0.99,1.980392157,78.13%
eauth.va.gov,23,43,-0.90,1.869565217,79.36%
www.ebenefits.va.gov,76,137,-0.85,1.802631579,80.10%
www.gibill.va.gov,29,49,-0.76,1.689655172,81.34%
www.insurance.va.gov,5,8,-0.68,1.6,82.33%
www.mirecc.va.gov,145,205,-0.50,1.413793103,84.39%
access.va.gov,3,4,-0.42,1.333333333,85.28%
www.cherp.research.va.gov,22,28,-0.35,1.272727273,85.95%
www.vacanteen.va.gov,20,25,-0.32,1.25,86.20%
www.northerncalifornia.va.gov,68,74,-0.12,1.088235294,87.98%
hcsc.va.gov,1,1,0.00,1,88.96%
productionchat.vrm.vba.va.gov,3,3,0.00,1,88.96%
vabenefits.vba.va.gov,1,1,0.00,1,88.96%
veteran.mobilehealth.va.gov,3,3,0.00,1,88.96%
www.aptcenter.research.va.gov,1,1,0.00,1,88.96%
www.choose.va.gov,1,1,0.00,1,88.96%
www.cider.research.va.gov,1,1,0.00,1,88.96%
www.queri.research.va.gov,1,1,0.00,1,88.96%
www.vba.va.gov,5,5,0.00,1,88.96%
www.vha.cc.va.gov,1,1,0.00,1,88.96%
www.vip.vetbiz.va.gov,2,2,0.00,1,88.96%
www.socialwork.va.gov,46,40,0.20,0.8695652174,90.40%
