"submission_date","state","tot_cases","new_case","pnew_case","tot_death","new_death","pnew_death","created_at","consent_cases","consent_deaths","conf_cases","prob_cases","conf_death","prob_death"
"2021-03-18T00:00:00.000","NE","206980","298.0","0","2130","1.0","0","2021-03-20T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2021-09-01T00:00:00.000","ND","118491","536.0","66","1562","1.0","0","2021-09-02T13:49:05.431","Agree","Not agree","107475.0","11016",NA,NA
"2022-03-28T00:00:00.000","VT","107785","467.0","35","585","0.0","0","2022-03-29T13:30:11.606","Not agree","Not agree",NA,NA,NA,NA
"2021-03-11T00:00:00.000","MD","390490","924.0","0","8549","19.0","0","2021-03-13T00:00:00.000","N/A","Agree",NA,NA,"8345.0","204"
"2022-04-21T00:00:00.000","ID","445350","0.0","0","4918","0.0","0","2022-04-22T14:15:21.481","Agree","Agree","348949.0","96401","4007.0","911"
"2020-12-13T00:00:00.000","MD","234647","2638.0","0","5410","50.0","0","2020-12-15T00:00:00.000","N/A","Agree",NA,NA,"5228.0","182"
"2020-07-31T00:00:00.000","WA","56493","885.0","31","1564","0.0","0","2020-07-31T00:00:00.000","N/A","N/A",NA,NA,NA,NA
"2020-05-03T00:00:00.000","NH","2518","89.0","0","86","2.0","0","2020-05-04T22:49:24.344","Not agree","Not agree",NA,NA,NA,NA
"2022-03-17T00:00:00.000","GU","46695","45.0","70","341","0.0","0","2022-03-18T13:48:08.091","Not agree","Not agree",NA,NA,NA,NA
"2020-05-14T00:00:00.000","DE","7304","62.0","4","356","16.0","4","2020-05-16T00:00:00.000","Agree","Agree","6835.0","469","310.0","46"
"2021-05-15T00:00:00.000","NV","320719","180.0","0","5530","0.0","0","2021-05-16T13:46:12.437","Agree",NA,"320719.0","0",NA,NA
"2021-07-24T00:00:00.000","ME","69992","55.0","22","897","0.0","0","2021-07-26T00:00:00.000","Agree","Agree","51213.0","18779","848.0","49"
"2022-01-01T00:00:00.000","WI","1120669","0.0","0","11173","0.0","0","2022-01-03T13:55:55.033","Agree","Agree","994535.0","126134","10063.0","1110"
"2020-01-27T00:00:00.000","MI","0","0.0",NA,"0","0.0",NA,"2020-03-26T16:22:39.452","Agree","Agree",NA,NA,NA,NA
"2021-08-08T00:00:00.000","IN","784622","1648.0","0","14057","0.0","0","2021-08-08T00:00:00.000","Not agree","Agree",NA,NA,"13627.0","430"
"2020-09-16T00:00:00.000","WI","98440","1502.0","94","1237","8.0","0","2020-09-17T13:45:45.666","Agree","Agree","92712.0","5728","1228.0","9"
"2021-02-26T00:00:00.000","MO","550374","605.0","246","8543","11.0","0","2021-02-28T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2021-09-08T00:00:00.000","NV","399234","1446.0","0","6637","33.0","0","2021-09-09T14:36:12.589","Agree",NA,"399234.0","0",NA,NA
"2020-11-25T00:00:00.000","VT","3710","84.0","1","68","2.0","0","2020-11-27T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2020-11-22T00:00:00.000","MI","438987","3632.0","228","9303","96.0","3","2020-11-23T00:00:00.000","Agree","Agree","403219.0","35768","8882.0","421"
"2020-05-11T00:00:00.000","CT","33765","211.0","-30","3008","41.0","-10","2020-05-12T17:26:08.000","Agree","Agree","31955.0","1810","2294.0","714"
"2020-09-18T00:00:00.000","VT","1572","2.0","0","57","0.0","0","2020-09-20T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2020-06-03T00:00:00.000","MS","18479","334.0","4","1058","12.0","1","2020-06-05T00:00:00.000","Agree","Agree","18339.0","140","1039.0","19"
"2022-04-30T00:00:00.000","GU","48142","5.0","0","354","0.0","0","2022-05-02T12:49:10.008","Not agree","Not agree",NA,NA,NA,NA
"2022-04-30T00:00:00.000","DE","262445","308.0","38","2948","0.0","0","2022-05-02T00:00:00.000","Agree","Agree","239164.0","23281","2648.0","300"
"2020-07-11T00:00:00.000","NE","20944","205.0","0","285","0.0","0","2020-07-13T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2021-10-01T00:00:00.000","MO","823346","1724.0","402","11522","7.0","0","2021-10-02T13:37:53.374","Not agree","Not agree",NA,NA,NA,NA
"2021-08-06T00:00:00.000","MD","472224","890.0","0","9871","4.0","0","2021-08-08T00:00:00.000","N/A","Agree",NA,NA,"9651.0","220"
"2022-06-10T00:00:00.000","MI","2565819","0.0","0","36538","0.0","0","2022-06-11T13:22:12.778","Agree","Agree","2229169.0","336650","33566.0","2972"
"2020-08-16T00:00:00.000","CA","621562","7873.0","0","11104","110.0","0","2020-08-18T00:00:00.000","Agree","Agree","621562.0","0","11104.0","0"
"2021-03-31T00:00:00.000","ND","103299","208.0","49","1466","0.0","0","2021-04-01T14:13:30.582","Agree","Not agree","96726.0","6573",NA,NA
"2022-02-04T00:00:00.000","MD","984492","1694.0","0","13655","44.0","0","2022-02-06T00:00:00.000","N/A","Agree",NA,NA,"13397.0","258"
"2020-03-09T00:00:00.000","WI","1","0.0",NA,"0","0.0",NA,"2020-03-26T16:22:39.452","Agree","Agree",NA,NA,NA,NA
"2021-06-30T00:00:00.000","CA","3710454","-4359.0","0","63023","24.0","0","2021-07-02T00:00:00.000","Agree","Agree","3710454.0","0","63023.0","0"
"2022-04-16T00:00:00.000","MT","273114","0.0","0","3260","0.0","0","2022-04-18T13:38:16.665","Agree","Agree","212648.0","60466","3260.0","0"
"2022-05-23T00:00:00.000","WA","1558492","1160.0","27","12872","9.0","0","2022-05-23T00:00:00.000","N/A","N/A",NA,NA,NA,NA
"2020-10-05T00:00:00.000","WI","141655","1727.0","31","1392","4.0","0","2020-10-06T13:33:58.026","Agree","Agree","134359.0","7296","1381.0","11"
"2020-10-23T00:00:00.000","VT","1867","29.0","0","57","0.0","0","2020-10-25T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2021-05-15T00:00:00.000","MD","455635","378.0","0","9531","11.0","0","2021-05-17T00:00:00.000","N/A","Agree",NA,NA,"9317.0","214"
"2021-02-14T00:00:00.000","GU","7699","10.0","0","130","0.0","0","2021-02-15T14:46:24.739","Not agree","Not agree",NA,NA,NA,NA
"2020-09-11T00:00:00.000","ID","34950","333.0","48","412","5.0","0","2020-09-12T14:12:43.160","Agree","Agree","32228.0","2722","375.0","37"
"2022-03-04T00:00:00.000","CT","724833","432.0","88","10543","28.0","8","2022-03-05T14:44:19.840","Agree","Agree","649380.0","75453","8626.0","1917"
"2021-09-07T00:00:00.000","MD","504856","795.0","0","10139","14.0","0","2021-09-09T00:00:00.000","N/A","Agree",NA,NA,"9916.0","223"
"2021-12-31T00:00:00.000","WA","859206","10366.0","641","9853","0.0","0","2021-12-31T00:00:00.000","N/A","N/A",NA,NA,NA,NA
"2022-01-07T00:00:00.000","NC","1845292","31863.0","5537","20136","60.0","10","2022-01-07T00:00:00.000","Agree","Agree","1548941.0","296351","17703.0","2433"
"2020-04-04T00:00:00.000","VT","430","63.0","0","20","2.0","0","2020-04-06T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2021-09-09T00:00:00.000","WI","751195","2095.0","435","8589","32.0","1","2021-09-10T14:35:13.034","Agree","Agree","675908.0","75287","7717.0","872"
"2021-01-02T00:00:00.000","AL","368138","2497.0","418","7351","80.0","19","2021-01-02T00:00:00.000","Agree","Agree","300194.0","67944","6040.0","1311"
"2022-05-17T00:00:00.000","IN","1716327","0.0","0","23640","0.0","0","2022-05-18T13:45:25.384","Not agree","Agree",NA,NA,"22694.0","946"
"2021-12-12T00:00:00.000","CA","5133238","0.0","0","74509","0.0","0","2021-12-13T15:27:15.951","Agree","Not agree","4867604.0","265634",NA,NA
"2020-09-19T00:00:00.000","ME","5034","42.0","3","140","1.0","0","2020-09-21T00:00:00.000","Agree","Agree","4565.0","469","139.0","1"
"2022-05-07T00:00:00.000","IL","3169315","0.0","0","37956","0.0","0","2022-05-09T13:14:40.058","Agree","Agree","3169315.0","0","33660.0","4296"
"2020-04-05T00:00:00.000","VI","42","0.0",NA,"1","1.0",NA,"2020-04-04T16:22:39.452",NA,NA,NA,NA,NA,NA
"2021-01-23T00:00:00.000","CA","3085040","22972.0","0","35544","515.0","0","2021-01-25T00:00:00.000","Agree","Agree","3085040.0","0","35544.0","0"
"2021-08-12T00:00:00.000","DE","111730","324.0","59","1879","0.0","0","2021-08-14T00:00:00.000","Agree","Agree","104241.0","7489","1718.0","161"
"2022-02-27T00:00:00.000","IN","1680331","0.0","0","22800","0.0","0","2022-02-28T14:56:19.501","Not agree","Agree",NA,NA,"21922.0","878"
"2022-01-08T00:00:00.000","ND","181576","930.0","54","2029","1.0","0","2022-01-10T13:58:15.639","Agree","Not agree","147398.0","34178",NA,NA
"2021-08-23T00:00:00.000","CT","367410","518.0","53","8335","-2.0","0","2021-08-24T14:24:26.650","Agree","Agree","334476.0","32934","6863.0","1472"
"2021-02-28T00:00:00.000","WA","339483","832.0","190","4956","0.0","0","2021-02-28T00:00:00.000","N/A","N/A",NA,NA,NA,NA
"2020-10-31T00:00:00.000","MS","122803","428.0","148","3686","11.0","6","2020-11-02T00:00:00.000","Agree","Agree","106256.0","16547","3268.0","418"
"2020-05-10T00:00:00.000","NE","8242","62.0","0","98","2.0","0","2020-05-12T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2020-07-25T00:00:00.000","MO","49494","530.0","5","1321","11.0","0","2020-07-27T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2020-12-24T00:00:00.000","MI","570566","1932.0","218","13166","99.0","14","2020-12-25T00:00:00.000","Agree","Agree","524450.0","46116","12436.0","730"
"2021-03-30T00:00:00.000","ME","50780","340.0","102","743","5.0","0","2021-04-01T00:00:00.000","Agree","Agree","39037.0","11743","720.0","23"
